company,parent,round,date,amount_cr,post_money_cr,investors,founded,fit_for_fresher,role_title,role_family,likelihood,band_low_lpa,band_high_lpa,band_confidence,careers_url,why
iKure,,Seed,2026-09-10,17.1,,Worlddiabetesfoundation[+1],2010,,,,,,,,,
Swish,,Series B,2026-09-10,228.0,,Bertelsmann India Investments[+3],2024,,,,,,,,,
Carrum,,Series B,2026-09-09,94.8,,Uber,2024,,AI Evangelist,Product / automation and internal tooling,listed now,,,medium,https://in.linkedin.com/company/carrum-mobility-solutions-pvt-ltd-gurugram/jobs (no careers page exists on carrum.co.in — /careers is a hard 404 and the site's only hiring surface is driver recruitment; all corporate hiring runs through dated LinkedIn company posts with applications by email to hr@carrum.co.in),"Already open and explicitly 0-3 yrs, so it is the one live posting whose stated experience window admits a 2026/2027 graduate. It maps directly to the round's stated use of funds — 'strengthen its technology platform' — and to automating fleet, driver-onboarding and finance workflows that currently "
Carrum,,Series B,2026-09-09,94.8,,Uber,2024,,Finance Team – multiple roles across levels,Finance and accounting,listed now,,,medium,https://in.linkedin.com/company/carrum-mobility-solutions-pvt-ltd-gurugram/jobs (no careers page exists on carrum.co.in — /careers is a hard 404 and the site's only hiring surface is driver recruitment; all corporate hiring runs through dated LinkedIn company posts with applications by email to hr@carrum.co.in),"Posted as multiple roles 'across levels', which is the only listed opening that explicitly includes entry rungs. Financing roughly 6,000 additional vehicles — the workstream the Debt & Treasury Manager posting describes as 'term loans to NCDs' — creates junior lease-accounting, EMI/collections recon"
Carrum,,Series B,2026-09-09,94.8,,Uber,2024,,City Launch / Fleet Operations Executive (Chennai and new cities),"Operations, supply chain and city launch",likely,,,medium,https://in.linkedin.com/company/carrum-mobility-solutions-pvt-ltd-gurugram/jobs (no careers page exists on carrum.co.in — /careers is a hard 404 and the site's only hiring surface is driver recruitment; all corporate hiring runs through dated LinkedIn company posts with applications by email to hr@carrum.co.in),"TechCrunch's concrete targets are Chennai live as the 7th city this month and the fleet more than doubling from ~5,100 to ~11,000 vehicles within 12 months. Every new city and every additional 1,000 cars needs ground headcount for vehicle deployment, hub/parking management, servicing schedules and d"
Carrum,,Series B,2026-09-09,94.8,,Uber,2024,,Driver Supply / Partner Acquisition Associate,Business development and inside sales,likely,,,medium,https://in.linkedin.com/company/carrum-mobility-solutions-pvt-ltd-gurugram/jobs (no careers page exists on carrum.co.in — /careers is a hard 404 and the site's only hiring surface is driver recruitment; all corporate hiring runs through dated LinkedIn company posts with applications by email to hr@carrum.co.in),"Doubling the fleet means roughly doubling the 18,000+ driver partners, and driver supply — not vehicle supply — is what caps utilisation and therefore revenue per car. The company already runs a 'Drive with Carrum' funnel and previously posted a Team Leader – Telesales role, which is exactly the tea"
Carrum,,Series B,2026-09-09,94.8,,Uber,2024,,Business Analyst – Fleet Operations / Utilisation,Business analyst and data analyst,likely,,,medium,https://in.linkedin.com/company/carrum-mobility-solutions-pvt-ltd-gurugram/jobs (no careers page exists on carrum.co.in — /careers is a hard 404 and the site's only hiring surface is driver recruitment; all corporate hiring runs through dated LinkedIn company posts with applications by email to hr@carrum.co.in),"A vehicle-leasing P&L lives on per-asset unit economics: utilisation days, idle days, CNG/charging cost per km, EMI coverage, repair cost per vehicle. With the fleet doubling across seven cities and a 5-6 yr Program Manager – Strategy & Execution already hired to own execution, a junior analyst to b"
Carrum,,Series B,2026-09-09,94.8,,Uber,2024,,Business Development Associate – Logistics,Business development and account management,likely,,,medium,https://in.linkedin.com/company/carrum-mobility-solutions-pvt-ltd-gurugram/jobs (no careers page exists on carrum.co.in — /careers is a hard 404 and the site's only hiring surface is driver recruitment; all corporate hiring runs through dated LinkedIn company posts with applications by email to hr@carrum.co.in),"The Business Head – Logistics role was posted roughly an hour before this research and one day after the round, to build the Logistics vertical 'from the ground up'. A brand-new B2B vertical's first junior hires are BD/account executives to source and service enterprise logistics clients, since the "
Carrum,,Series B,2026-09-09,94.8,,Uber,2024,,Associate – Founder's Office / Strategy,"Founder's office, chief of staff and strategy associate",possible,,,medium,https://in.linkedin.com/company/carrum-mobility-solutions-pvt-ltd-gurugram/jobs (no careers page exists on carrum.co.in — /careers is a hard 404 and the site's only hiring surface is driver recruitment; all corporate hiring runs through dated LinkedIn company posts with applications by email to hr@carrum.co.in),"Founder/CEO Karan Jain's stated ambition to 'eventually become a global fleet partner for Uber', plus expansion into new geographies, generates city-entry diligence, lender and OEM data packs, and board reporting. Uber-backed Series B companies with a strategy pod of one commonly add a junior associ"
Carrum,,Series B,2026-09-09,94.8,,Uber,2024,,Procurement / Vehicle Supply Chain Associate,"Category management, procurement and merchandising",possible,,,medium,https://in.linkedin.com/company/carrum-mobility-solutions-pvt-ltd-gurugram/jobs (no careers page exists on carrum.co.in — /careers is a hard 404 and the site's only hiring surface is driver recruitment; all corporate hiring runs through dated LinkedIn company posts with applications by email to hr@carrum.co.in),"Deploying ~6,000 more CNG and electric cars means OEM and dealer negotiation, delivery scheduling, RTO and insurance paperwork, and charging/CNG infrastructure tie-ups. That is a real junior workstream at an asset-heavy operator, though at ~150 corporate staff it may stay inside the existing ops or "
Eubrics,,Seed,2026-09-09,,,Superset,2021,,,,,,,,,
KARAM,,PE,2026-09-09,601.0,,Motilal Oswal,1998,,Graduate Engineer Trainee / Management Trainee - Sales & Marketing,Management trainee and graduate leadership programmes,likely,,,low,https://www.karam.in/careers,"The round is explicitly for strengthening the global distribution network and manufacturing capability. A PPE and fall-protection maker sells a technical, standards-certified product (3,800+ certified SKUs, EN/IS compliance) to industrial safety officers, so the standard intake for the commercial la"
KARAM,,PE,2026-09-09,601.0,,Motilal Oswal,1998,,Sales Executive / Territory Sales Executive - Industrial Safety,"Business development, inside sales and account management",likely,,,low,https://www.karam.in/careers,"This is the job family that actually scales when a distributor-led safety business is told to grow its distribution network. Google snippets of the unreachable careers.karam.in subdomain reference postings in Kolkata, Salt Lake, Panvel, Bahadurgarh, Vadodara, Mumbai and Lucknow - all industrial-belt"
KARAM,,PE,2026-09-09,601.0,,Motilal Oswal,1998,,Export Sales / International Business Development Executive,"Business development, inside sales and account management",likely,,,low,https://www.karam.in/careers,"The stated use of funds names international markets and the global distribution network directly, and KARAM already exports to 140+ nations with plants in South Africa and Brazil. A Dubai posting appeared in the same search snippets. Entry-level export desk work (documentation, distributor coordinat"
KARAM,,PE,2026-09-09,601.0,,Motilal Oswal,1998,,Application / Technical Support Engineer - Fall Protection,"Business development, inside sales and account management (technical pre-sales)",likely,,,low,https://www.karam.in/careers,"Secondary use of the capital is investment in innovation and new products. Fall-protection systems are specified, not just sold - site surveys, anchorage design, training and demo work sit between product and sales, and this is the seat a 0-1 year engineering graduate is genuinely qualified for at t"
KARAM,,PE,2026-09-09,601.0,,Motilal Oswal,1998,,Supply Chain / Production Planning Executive (plant),"Operations, supply chain and city launch",likely,,,low,https://www.karam.in/careers,"The round funds manufacturing capability across five plants and 65+ acres. Capacity investment pulls in planning, sourcing and quality headcount at Lucknow, Sitarganj, Sandila and Coimbatore before it pulls in anything head-office. Note these are true tier-2 postings and price at the bottom of the b"
KARAM,,PE,2026-09-09,601.0,,Motilal Oswal,1998,,Product / Category Executive - New Product Categories,Category management and merchandising,possible,,,low,https://www.karam.in/careers,"The headline is diversification into complementary product categories via acquisition. Whoever buys a category has to run it, and a junior category or product executive supporting the four brands is a plausible add once a deal closes - but it follows integration rather than leading it, so it is not "
KARAM,,PE,2026-09-09,601.0,,Motilal Oswal,1998,,Business Analyst / MIS Executive - Sales Analytics,Business analyst and data analyst,possible,,,low,https://www.karam.in/careers,"The coverage specifically mentions further solidifying corporate governance, which in a PE-backed manufacturer means monthly reporting packs, distributor and SKU profitability, and board MIS. That work usually starts as one or two junior MIS/analyst seats under the CFO rather than a new analytics te"
KARAM,,PE,2026-09-09,601.0,,Motilal Oswal,1998,,Corporate Development / M&A Integration Analyst,Founder's office / strategy associate,possible,,,low,https://www.karam.in/careers,"Acquisitions are the explicit headline use of the capital and no such function appears publicly today, so it will have to be built. But it is the least likely entry door for a fresh graduate: this seat is normally filled at 2-5 years from banking, Big-4 transaction services or consulting, and KARAM'"
Marmalade,,Seed,2026-09-09,6.01,,Ashok Chokalingam[+3],2025,,On-Trade Manager,"Business development, inside sales and account management",listed now,,,low,"No careers page exists. Site is marmaladedrinks.com (5 pages: /, /brightsidecraftwhiskey, /privacy-policy, /terms-of-use, /locations); every careers path 404s. Hiring runs through the homepage 'JOIN THE REVOLUTION' inbox at careers@marmaladedrinks.com, and the two live trade roles are recruited via co-founder Udit Mediratta's LinkedIn posts with applications to udit@marmaladedrinks.com. The LinkedIn company page (linkedin.com/company/marmaladedrinks) shows zero posted listings.","Already being recruited via the founder's LinkedIn posts for the Mumbai launch — bars, restaurants, nightlife and activations. This is the direct spend line from the round: distribution expansion and GTM build in Maharashtra to take the brand from Rs 5 crore ARR (Sep 2026) to Rs 15 crore by Dec 2026"
Marmalade,,Seed,2026-09-09,6.01,,Ashok Chokalingam[+3],2025,,Off-Trade Manager,"Business development, inside sales and account management",listed now,,,low,"No careers page exists. Site is marmaladedrinks.com (5 pages: /, /brightsidecraftwhiskey, /privacy-policy, /terms-of-use, /locations); every careers path 404s. Hiring runs through the homepage 'JOIN THE REVOLUTION' inbox at careers@marmaladedrinks.com, and the two live trade roles are recruited via co-founder Udit Mediratta's LinkedIn posts with applications to udit@marmaladedrinks.com. The LinkedIn company page (linkedin.com/company/marmaladedrinks) shows zero posted listings.","Also live via founder posts — wine shops, distributor management, shelf visibility and sell-out in Mumbai. Off-trade is where the volume for a Rs 1,750 bottle actually comes from in Maharashtra, so it is the single most funded seat in this round. Same 2-4 year alcobev bar applies."
Marmalade,,Seed,2026-09-09,6.01,,Ashok Chokalingam[+3],2025,,Territory Sales Executive / Sales Executive - Off-Trade (Mumbai),"Business development, inside sales and account management",likely,,,low,"No careers page exists. Site is marmaladedrinks.com (5 pages: /, /brightsidecraftwhiskey, /privacy-policy, /terms-of-use, /locations); every careers path 404s. Hiring runs through the homepage 'JOIN THE REVOLUTION' inbox at careers@marmaladedrinks.com, and the two live trade roles are recruited via co-founder Udit Mediratta's LinkedIn posts with applications to udit@marmaladedrinks.com. The LinkedIn company page (linkedin.com/company/marmaladedrinks) shows zero posted listings.","The realistic genuine entry-level seat. Tripling ARR in one quarter across Mumbai plus the rest of Maharashtra cannot be done by two managers alone — the standard alcobev structure puts 1-3 territory executives under each trade manager to run daily wine-shop beat coverage, stock checks and sell-out."
Marmalade,,Seed,2026-09-09,6.01,,Ashok Chokalingam[+3],2025,,Brand Activation / Trade Marketing Executive,Growth and performance marketing,likely,,,low,"No careers page exists. Site is marmaladedrinks.com (5 pages: /, /brightsidecraftwhiskey, /privacy-policy, /terms-of-use, /locations); every careers path 404s. Hiring runs through the homepage 'JOIN THE REVOLUTION' inbox at careers@marmaladedrinks.com, and the two live trade roles are recruited via co-founder Udit Mediratta's LinkedIn posts with applications to udit@marmaladedrinks.com. The LinkedIn company page (linkedin.com/company/marmaladedrinks) shows zero posted listings.","The round explicitly funds 'brand-building initiatives' alongside distribution. Indian alcohol advertising restrictions push spend into on-premise activations, bartender programmes, tastings and events — which need a junior executive on the ground in Mumbai and Pune to run them, not a strategist. Pa"
